79,Las Meninas,Diego Velázquez,1656,(Note: Already listed as rank 8),
79,The Gross Clinic,Thomas Eakins,1875,(Note: Already listed as rank 72),
79,The Taking of Christ,Caravaggio,1602,"Tenebristic scene of Judas betraying Christ with a kiss, soldiers seizing Jesus, and Caravaggio himself holding a lantern. Lost for centuries and rediscovered in 1990, it’s now lauded as one of Caravaggio’s masterpieces for its intense emotion, dramatic lighting, and compositional clarity. The painting exemplifies Caravaggio’s transformative impact on religious art with its realistic figures and sense of immediacy.",(Unified List Additional: Now in Dublin; in Caravaggio literature and exhibitions often)
80,"Claude Monet, Impression, Sunrise",Claude Monet,1872,(Duplicate of rank 24),
80,Irises,Vincent van Gogh,1889,"Bright, rhythmic painting of blooming irises created during Van Gogh’s time at the Saint-Rémy asylum. Often called “the painting without blues” (as Van Gogh used violet and green to create harmony), it shows his ability to find beauty and structure in nature amid personal turmoil. Its energetic brushwork and composition (influenced by Japanese ukiyo-e prints) illustrate Van Gogh’s style. It also famously fetched a record price in 1987, underscoring its fame.","TOPofART, Getty Museum archives"
81,Parasol – Madame Monet and Her Son,Claude Monet,1875,"Depicts Monet’s wife Camille and son in a windy field, with Camille’s billowing veil and dress capturing a fleeting moment under a sunny sky. Lauded for its quick brushstrokes and spontaneous feel that epitomize Impressionism, it conveys leisure and maternal grace. The elevated viewpoint and dynamic clouds make it a standout in Monet’s oeuvre and a popular favorite for its joyful portrayal of family and nature.",(Unified List Additional: National Gallery of Art highlight; Impressionist surveys)
82,The Harvesters,Pieter Bruegel the Elder,1565,"One of the first monumental paintings devoted entirely to peasant life and labor, showing harvesters eating and working in golden late-summer fields. Bruegel’s detailed observation of daily life, combined with a sweeping landscape perspective, was revolutionary. It influenced the course of Western art by validating peasant genre scenes as worthy subjects and remains a Metropolitan Museum of Art star piece.","Scaruffi (as “August” in seasons cycle), Mullins (BBC)"
83,The Dance,Henri Matisse,1910,"Bold, flat depiction of five nudes holding hands in a circle against a simplified landscape of green ground and blue sky. Celebrated for its raw energy and use of pure color, it exemplified Matisse’s Fauvist ideals and the primitivist influence (inspired by communal dances). The Dance is hailed for capturing joy and movement in a radically simplified form, marking a turning point toward abstraction and influencing modernist design.",(Unified List Additional: Highlight in MoMA and Hermitage; widely studied as modern art landmark)
84,The Battle of Alexander at Issus,Albrecht Altdorfer,1529,"Early example of landscape used on a grand scale to dramatize a historical battle (Alexander the Great’s victory), replete with minute figures and a cosmic sky of swirling clouds and twin suns. Commissioned by a Bavarian duke, it serves as a Renaissance political allegory (paralleling contemporary battles with the Ottoman Empire). Its panoramic detail and vibrant color influenced later epic historical painting and landscape art.","Mullins (BBC), Scaruffi"
85,Venus of Urbino,Titian,1538,"Influential Venetian painting of a reclining nude Venus in a palatial interior, gazing confidently at the viewer. Commissioned as a private piece, its sensual yet candid portrayal set the template for the reclining nude genre (inspiring Manet’s Olympia, etc.). Titian’s mastery of color (soft golden tones) and paint handling in rendering skin and fabrics solidified this work as a prime example of High Renaissance art and a touchstone for debates on the nude in art.","Britannica (Florence list), Art Story (analysis)"
86,The Two Fridas,Frida Kahlo,1939,"Dual self-portrait showing Kahlo in two guises (European bridal dress and traditional Tehuana dress) with hearts exposed and connected by veins, holding a small portrait of Diego Rivera. It symbolizes her divided heritage and emotional pain after her divorce. As Kahlo’s largest and one of her most famous works, it exemplifies her introspective surrealism and has become emblematic of Latin American art and feminist art history, highlighting personal narrative as universal expression.",(Unified List Additional: Frequently exhibited; iconic in discussions of self-portraiture and identity)
87,Bathers (Les Grandes Baigneuses),Paul Cézanne,1898–1905,"Monumental Post-Impressionist scene of nude bathers in a landscape, with figures and environment reduced to geometric forms and patches of color. Left somewhat unfinished, it nonetheless greatly impacted 20th-century art; both Matisse and Picasso praised its composition and approach to form. It’s seen as Cézanne’s statement on synthesizing the classical nude tradition with modern abstraction, bridging the old and the new.","Mullins (BBC, as “Bathers”), Philadelphia Museum of Art highlights"
88,The Persistence of Memory,Salvador Dalí,1931,(Note: Already listed as rank 16),
88,Europe After the Rain II,Max Ernst,1940–1942,"Decadent Surrealist landscape created via decalcomania (pressed paint) technique, depicting a post-apocalyptic world with strange organic forms. Painted during WWII, it’s seen as Ernst’s fearful premonition of civilizational collapse. Celebrated for its texture and imagination, it exemplifies Surrealist automatic techniques and haunting war-era expression, influencing later abstract landscapes.","Scaruffi, Mullins (BBC)"
89,Night Watch,Rembrandt van Rijn,1642,(Note: Already listed as rank 17),
89,The Mystic Lamb (Ghent Altarpiece),Jan van Eyck (Hubert & Jan),1432,(Duplicate of rank 38 entry for Ghent Altarpiece),
89,The Execution of Lady Jane Grey,Paul Delaroche,1833,"Victorian-era history painting of the blindfolded 16-year-old Lady Jane Grey moments before execution, known for its theatrical staging and emotional poignancy. Hugely popular in the 19th century then lost to storage for decades, its rediscovery and exhibition in the 1970s revived its renown. Today it’s one of the National Gallery (London)’s most moving works, illustrating the 19th-century appetite for tragic historical drama rendered with near-photographic detail.",(Unified List Additional: Frequently highlighted in National Gallery guides; demonstrates narrative painting appeal)
90,Broadway Boogie Woogie,Piet Mondrian,1942–1943,(Note: Already listed as rank 66),
90,The Battle of San Romano,Paolo Uccello,c. 1438–1440,"Early Renaissance triptych panels (one in the Uffizi, one in the National Gallery London, one in the Louvre) depicting a 1432 Florentine victory with foreshortened broken lances and knights in elaborate armor. Uccello’s obsessive use of perspective (scattered weapons align to vanishing points) and bold color make it a landmark in the development of perspective in art. Praised by later artists for its quirky, modern feel (the stylized horses and knights), it remains a striking example of Renaissance experimentation.","Scaruffi (Part I listed), Visual-arts-cork (analysis)"
91,"The Bay of Marseille, Seen from l’Estaque",Paul Cézanne,1885,"One of Cézanne’s proto-Cubist landscapes of the view over roofs toward the sea, reducing natural forms to geometric shapes and faceted color planes. This work exemplifies Cézanne’s revolutionary approach of “reconstructing” nature with cylinders, spheres, and cones, greatly influencing Picasso, Braque, and the entire Cubist movement. It’s a bridge between Impressionist light and Cubist form, marking a turning point in art’s path to abstraction.","(Unified List Additional: Commonly cited in Cubism origin discussions, e.g., in MoMA’s Cézanne shows)"
92,Venus and Adonis,Titian,1550s,"One of Titian’s famed poesie (painted for Philip II of Spain) illustrating Ovid’s myth: Venus clings to Adonis, imploring him not to hunt as he breaks away with his hounds. Celebrated for its dynamic composition and rich color, it conveys intense emotion and impending tragedy. Titian’s loose, expressive brushwork in later versions of this scene influenced Baroque artists. Venus and Adonis exemplifies the Venetian tradition of sensual mythological painting and Titian’s narrative genius.",(Unified List Additional: Many versions exist; core example in Prado and Getty; highly studied Titian work)
93,Garden at Sainte-Adresse,Claude Monet,1867,"Early Impressionist painting of Monet’s family members on a flowered terrace by the sea, with flags fluttering and ships beyond. Notable for its bright palette and clear light, it marries realist detail with bold color patches, foreshadowing Monet’s mature style. It also captures the leisure of the bourgeoisie, a new subject in art. Often exhibited as a prime example of Monet’s early brilliance, it demonstrates the emergence of plein air composition and modern life themes.",(Unified List Additional: Highlight in The Metropolitan Museum of Art’s 19th-century galleries; referenced in studies of early Impressionism)
94,The Baptism of Christ,Piero della Francesca,1448–1450,"Early Renaissance fresco (now panel) showing Christ’s baptism in the River Jordan, renowned for its geometric composition, soft color palette, and Piero’s characteristic stillness and clarity. It exemplifies Piero’s exploration of perspective and light (note the reflections in water and play of shadows), and it carries a profound sense of harmony. Esteemed as one of the era’s great religious works, its technique influenced later artists and reinforced Piero’s standing as a master of Quattrocento art.","Scaruffi (as part of Legend of the True Cross), Britannica (Florence list)"
95,Migrant Mother,Dorothea Lange,1936,"(Photograph, not painting — omitted)",
95,Dogs Playing Poker,C. M. Coolidge,1903,"(Series of paintings, often referenced humorously — not typically in scholarly “greatest” lists; likely excluded as not appearing in authoritative sources)",
95,The Boulevard Montmartre at Night,Camille Pissarro,1897,"Impressionist cityscape painted from Pissarro’s hotel window, capturing Paris’s Boulevard Montmartre under gaslight with lively brushwork. Notable as one of the earliest depictions of a city street at night in Impressionism, it demonstrates Pissarro’s fascination with modern urban life and changing light conditions. The Boulevard Montmartre series (day and night views) is celebrated for its perspective and atmosphere, contributing to Pissarro’s legacy as a chronicler of Paris.",(Unified List Additional: Often featured in Impressionist exhibitions; National Gallery London collection)
96,Self-Portrait with Thorn Necklace and Hummingbird,Frida Kahlo,1940,"Kahlo’s symbolic self-portrait wearing a thorn necklace (evoking pain) from which a dead hummingbird (symbol of hope/love in Mexican folklore) hangs, flanked by a black monkey and cat. Rich with personal iconography, it reflects Kahlo’s suffering and resilience post-divorce from Rivera. The vivid, flattened style draws on folk art. Now iconic, it exemplifies Kahlo’s merging of personal narrative, cultural elements, and Surrealist touches, influencing feminist art discourse worldwide.",(Unified List Additional: Frequently reproduced Kahlo image; popular in museum shows and literature for its symbolism)
97,Hide and Seek,Pavel Tchelitchew,1942,"Surrealist painting of children in a tree that transforms into a giant human head when viewed from afar, with hidden faces and figures throughout. Celebrated in mid-century for its intricate puzzle-like composition, it became one of MoMA’s most popular paintings in the 1940s. Though Tchelitchew’s fame waned, Hide and Seek endures as a cult classic illustrating themes of childhood and fear, and it showcases a unique intricacy that fascinates viewers with its optical illusions and layered imagery.",(Unified List Additional: MoMA’s 1940s icon; appears in discussions of magic realism in painting)
98,"Blue Poles (Number 11, 1952)",Jackson Pollock,1952,"One of Pollock’s later “drip” paintings, distinguished by eight bold dark blue vertical lines (“poles”) amid a complex lattice of dripped and splattered color. Its purchase by the Australian National Gallery in 1973 was highly controversial but has since become a national treasure. The painting is celebrated for its energetic balance of chaos and structure, exemplifying the peak of Abstract Expressionism and Pollock’s influence on global art.",(Unified List Additional: Often cited in Pollock’s top works; significant for public debates on modern art value)
99,Soft Self-Portrait with Fried Bacon,Salvador Dalí,1941,"Surrealist self-parody by Dalí, depicting his visage as a melting, unsupported form propped by crutches, with a strip of fried bacon (alluding to flesh) underneath. It’s a witty commentary on Dalí’s own persona (“soft” or lacking firmness without the support of his crutches of artifice). While not as famous as his 1930s works, it encapsulates his blend of humor, ego, and the grotesque, showcasing the enduring inventiveness of his post-Persistence imagination.","(Unified List Additional: Not widely cited in major “greatest” lists, included here for diversity from Dalí’s oeuvre given multiple sources already cover his top works)"
100,Radha and Krishna in the Grove,Kangra School (Indian),c. 1780,"Exquisite miniature painting from Kangra, India, depicting the Hindu lovers Radha and Krishna in a lush garden setting . It exemplifies the refined beauty of Indian Pahari painting – delicate figures, vibrant colors, and romantic mood, offering a non-Western perspective in the canon. Its inclusion broadens the traditionally Eurocentric “greatest” lists, acknowledging the masterful artistry of Indian miniatures and their cultural significance in portraying divine love.",
